English,Telugu
Goddamn tractor infomercial.,గాడ్డామ్ ట్రాక్టర్ ఇన్ఫోమెరికల్.
"Yes, but now you are the problem.","అవును, కానీ ఇప్పుడు మీరు సమస్య ఉంటాయి ."
Did you inspect these properties?,మీరు ఈ లక్షణాలు తనిఖీ తెలుసా?
I can't believe what I see.,నేనుచూసేనమ్మలేకపోతున్నాను
"OH, YOU FUCKING BASTARDS.","OH, మీరు బాస్టర్డ్స్ అనుకున్నాను."
I'm going to drop them all.,నేను వాటిని అన్ని డ్రాప్ వెళ్ళిపోతున్నాను.
"Not funny, I guess.","హాస్య, నేను అనుకుంటున్నాను."
Now ain't that a pisser?,ఇప్పుడు ఒక pisser కాదు?
Until we meet again.,మేము మళ్ళీ కలిసే వరకు.
Unlimited amount of strikes.,దాడులు అన్లిమిటెడ్ మొత్తం.
"You did, huh?","- మీరు చేసిన, హుహ్?"
That's it.,అది .
I have these beautiful flowers from my husband.,నా భర్త నుండి ఈ అందమైన పువ్వుల కలిగి.
"No, something's wrong with the girl.","సంఖ్య, ఏదో అమ్మాయి తో తప్పు."
Because I'm not so good with my eyes open.,నేను ఓపెన్ నా కళ్ళు కనుక మంచి కాదు ఎందుకంటే.
Destro.,Destro.
That's it!,అది అంటే!
That's it?,ఆ ఇది?
LOUIS:,LOUIS:
I didn't find out about the party until it was too late.,ఆలస్యం వరకు నేను పార్టీ గురించి తెలుసుకోవడానికి లేదు.
[ WHIP CRACKS ],[విప్ పగుళ్లు]
But this- this party's for girls.,కానీ ఈ పార్టీ బాలికలకు వార్తలు.
He's safe now!,అతను ఇప్పుడు సురక్షితం!
Hold him there.,అతన్ని పట్టుకోండి.
"Din, your family and your operational security.","దిన్, మీ కుటుంబం మరియు మీ కార్యాచరణ భద్రతా."
"Now you help find him, or I'm taking over command.",ఇప్పుడు మీరు అతనిని కనుగొనడానికి సహాయం లేదా నేను కమాండు స్వాధీనపరుచుకున్నారు చేస్తున్నాను. ఏమిటి?
"All right, shoot.","అన్ని కుడి, షూట్."
Liar!,- లయర్!
"Tiger Five and Six, switch to Formation Charlie and take out that gun!","టైగర్ ఐదు మరియు ఆరు, నిర్మాణం చార్లీ మారి ఆ తుపాకీ చేద్దామని!"
Screw you.,మీరు స్క్రూ.
"No, you didn't. You just yelled at me.","నేను"" హే, కావానాహ్, మీరు మళ్ళీ నన్ను మాట్లాడటం "", అన్నారు ."
- What do you do for a living?,- మీరు ఒక దేశం కోసం ఏమి?
They found the Teller boy.,వారు బాలుడు టెల్లర్ దొరకలేదు.
I'm starting to think she has a little crush on you.,నేను ఆమె మీరు కొద్దిగా క్రష్ ఉంది ఆలోచించడం మొదలు చేస్తున్నాను.
HEY.,హే.
I couldn't save them.,నేను వాటిని సేవ్ కాలేదు.
Maybe something sweet.,బహుశా తీపి ఏదో.
"Tower, I've located 172 down a sinkhole.","ఒక సింక్హోల్ డౌన్ టవర్, నేను 172 స్థాపించబడ్డాయి."
Looks like we got a whole bunch of clean ones.,మేము శుభ్రంగా వాటిని మొత్తం బంచ్ వచ్చింది వంటి ఉంది.
"I cannot stay here, not with this painting.","నేనుఈచిత్రంతో,ఇక్కడ ఉండలేము"
"Good luck for some, bad luck for others.","కొన్ని అదృష్టం, ఇతరులు దురదృష్టం."
You have to take your next promotion.,మీరు మీ తదుపరి ప్రమోషన్ తీసుకోవాలని.
Just one swipe and...,జస్ట్ ఒక తుడుపు మరియు...
- That herb thing.,- ఆ హెర్బ్ విషయం.
That means,అనగా
You just want to get the show over with.,మీరు కేవలం షో పైగా పొందుటకు కావలసిన.
So he was highballing you with the drywall.,అందువలన అతను ప్లాస్టార్ బోర్డ్ మీకు highballing జరిగినది.
"Take that, ya big bully.",", మీరు పెద్ద రౌడీ కలిగించవచ్చు."
"You come with me and get fixed up, or you get out here and wait for the cops.",రెండు ఎంపికలు గాట్.
All that we love we will destroy.,మేము ప్రేమ అన్ని... ... మేము నాశనం చేస్తుంది.
I think you need to relax.,నేను మీరు విశ్రాంతి అవసరం అనుకుంటున్నాను.
How much you got out of it?,మీరు బయటకు వచ్చింది ఎంత?
That call you missed.,కాల్ మీరు తప్పిన.
It's okay. lt's okay.,LT సరైందే. LT సరైందే.
That call you missed?,మీరు తప్పిన కాల్ ఆ?
"Yesterday's history, tomorrow's a mystery.","నిన్నటి చరిత్ర, tomorrow'sa రహస్య."
It's complicated.,ఇది సంక్లిష్టమైనది.
So where'd you serve?,సో మీరు సర్వ్ where'd?
We have a hostage situation on our hands.,మేము మా చేతుల్లో ఒక తాకట్టు పరిస్థితి కలిగి.
There's hundreds of them.,వాటిని వందల ఉన్నాయి.
What am I gonna do?,నేను గొన్న ఏమిటి వున్నాను?
- Go on.,- సరే.
Is that clear?,స్పష్టం?
Look at that eye.,ఆ కన్ను చూడండి.
You want to scare a relative without causing permanent injury?,మీరు శాశ్వత గాయం దీనివల్ల లేకుండా సాపేక్ష భయపెట్టుకోవాలంటే?
I would never kill a bug or a rat!,నేను ఒక బగ్ లేదా ఒక ఎలుక చంపడానికి ఎప్పటికీ!
Just in case we caught you in the background.,ఒకవేళ మేము నేపథ్యంలో మీరు ఆకర్షించింది.
I'm gonna stick my knife through your brain.,నేను మీ మెదడు ద్వారా నా కత్తి కర్ర గొన్న వద్ద.
- But it is dangerous.,- కానీ అది ప్రమాదకరం.
You're welcome.,కట్టా మూర్తి.
You are far from Catania.,మీరు చాలా కాంటానియా నుండి.
The drones watch everything.,డ్రోన్లువాచ్ప్రతిదీ
I'LL WALK.,నేను ఉంటాము.
Let's go. Come on.,యొక్క వెళ్ళి తెలపండి.
Now get the fuck off my land.,ఇప్పుడు నా భూమి ఆఫ్ ఫక్ పొందుటకు.
"So, who are you?","సో, నీవెవరు?"
"The guy's dead, Cam. We kind of have to report it.","హ్యాండ్, మేము చనిపోయే కావలసిన గేమ్ రకం."
"5 million, 500 thousand.","5 మిలియన్, 500 వేల."
That boy is gonna hurt you somethin' bad.,ఆ బాలుడు మీరు సంథింగ్ చెడు బాధించింది చెప్పేవాడు.
"""Barrette.""","""బారెట్."""
Three and six on the floor.,. నేలపైమూడు మరియుఆరు.
"Obviously you're, like, 13, so I don't know, but it's actually pretty nice and cute, and you should cut the head off it, okay.","సహజంగానే మీరు 13, వంటి, కాబట్టి నాకు తెలీదు, అయితే అందంగా nice ఉంది మరియు అందమైన, మరియు మీరు ఆఫ్ తల నరికేందుకు ఉండాలి, ఓకే."
"That-- you had a son with him, didn't you?","ఆ - మీరు, అతనితో ఒక కుమారుడు ఉన్నాడు మీరు లేదు?"
"-For God's sakes, Forbes.","- దేవుని sakes కోసం, ఫోర్బ్స్."
HANG ON A TICK.,టిక్ ఆగండి.
Female volunteer.,అవివాహిత స్వచ్చంద.
Fall back!,తిరిగి వస్తాయి!
Move up the ladder.,నిచ్చెన పైకి తరలించు.
Call me later...,తరువాతనాకుకాల్...
- right?,- కుడి?
Eat your food.,మీ ఆహారం తినడానికి.
This is not our standard.,ఈ మా ప్రామాణికం కాదు.
What are you wearing?,మీరు ధరించి?
And they're both rogue.,వారు రెండు రోగ్ ఉన్నాయి.
That'll be the day.,ఆ రోజు ఉంటాం.
"Tiger Four, adjust approach!","టైగర్ నాలుగు, విధానం సర్దుబాటు!"
The guys.,అబ్బాయిలు
[ LAUGHS ] Yes.,[నవ్వుతూ] అవును.
On a pachyderm parade,ఒకpachydermకవాతులో
The loans came with virtually no strings attached.,రుణాలుఏ తీగలనుచెబుతుంటారుదాదాపు వచ్చిన .
"Well, as I live and breathe!","బాగా, నేను బ్రతకాలని మరియు శ్వాస వంటి!"
(EXHALES SOFTLY),(మెత్త EXHALES)
"Oh, snap!",అయ్యో!
[ TELEPHONE RINGS ],[టెలిఫోన్ రింగ్]
SIMON:,SIMON:
(DELPHINE GIGGLES ON RECORDING),(డెల్ఫిన్ ముసిముసి రికార్డ్ )
Believe it.,ఇది బిలీవ్.
Come on.,న కమ్.
Come on!,న కమ్!
Let me introduce you. This is Flint.,నాకు మీరు పరిచయం లెట్ ఈ ఫ్లింట్ ఉంది
She wasn't herself.,ఆమె కాదు.
Star One Flight commander separating for drop.,. డ్రాప్కోసంవేరు స్టార్వన్విమానకమాండర్
- Hands up!,- చేతులు అప్!
Tiger One taking lead.,టైగర్ వన్ ముందుంది.
- They'll come to me!,వారు నా దగ్గరకు వస్తుంది!
No harm done.,సంఖ్య హాని పూర్తి.
"The Merino, the Romney, the Drysdale-- these names are whispered in the winds that caress the rugged hills.","Merino, రోమ్నీ, Drysdale - ఆ చేరటము కఠినమైన కొండలు ఈ పేర్లు గాలులు whispered ఉన్నాయి."
Anything going on?,ఏదైనా జరగబోతోంది?
"Take notes, please.","గమనికలు టేక్, దయచేసి."
- ( sniffles ),- (Sniffles)
( Experience struggling ),(పోరాడుతున్న అనుభవం)
I am wearing a costume.,నేను ఒక దుస్తులు ధరించి చేస్తున్నాను.
She's a lesbian.,ఆమె ఒక లెస్బియన్ ఉంది.
"Right, I know.","రైట్, నాకు తెలుసు."
It still takes muscle and it still takes nerve.,ఇది ఇప్పటికీ కండరము పడుతుంది మరియు అది ఇప్పటికీ నాడి పడుతుంది.
Okay. isn't that what we're doing?,సరే. మేము ఏమి లేదు అని?
"All right, here's what's gonna happen.","అన్ని కుడి, ఇక్కడ జరగదు ఉంది ఏమిటి."
You don't know who that is?,మీరు ఎవరు తెలియదు?
- Get back. - Come on.,- తిరిగి పొందండి.
This wasn't supposed to happen.,ఈ జరిగే అవ్వాల్సింది కాదు.
I have made you the strongest.,నేను మీరు బలమైన చేశారు.
"Well, we'll die like rats with rifles,","బాగా, మేము రైఫిళ్లను ఎలుకలు వంటి మరణిస్తాను."
"It's not for you, Scully.",ఇది మీరు కోసం స్కల్లి కాదు.
"You have no right-- deep down, you have to know...","సందర్సకులలో హక్కు - డీప్ డౌన్, మీకు తెలిసిన ఉంటుంది..."
[ CHUCKLES ],[Chuckles]
In a real cup.,నిజమైన కప్ లో .
They probably held out on you.,వారు బహుశా మీరు బయటకు జరిగింది.
"We got a good one, too.","మేము చాలా, ఒక మంచి ఇచ్చారు."
"Copy 49, tasking 185 to Grid 22.","కాపీ49,గ్రిడ్22185 టాస్కింగ్"
- Please have patience with us.,- మాకు సహనం కలిగి దయచేసి. - అర్థమైంది.
Thank you for last night.,గత రాత్రి ధన్యవాదాలు.
I did my research on you.,నేను మీరు నా పరిశోధన చేసింది.
( boy mutters ),(బాయ్గొణుగుతుంది)
I am indebted...,నేను రుణపడి ఉన్నాను...
Is killing' me,Lskillin'నాకు
"You get it, you get it.","దాన్ని పొందడానికి, మీరు పొందుటకు."
How long?,ఎంతకాలం?
Have you?,మీకు?
"(CHUCKLES) Thank you, Stoop.","(CHUCKLES)ముందుకువంగు,ధన్యవాదాలు."
And he's showing you everything you've been missing.,మరియు అతను మీరు మీరు లేదు ప్రతిదీ చూపిస్తోంది.
You wanna help me?,మీరు నాకు సహాయం చేయాలని మీరు అనుకుంటున్నారా?
"Relax, stop stealing my lines.","నా పంక్తులు దొంగిలించడం ఆపడానికి, రిలాక్స్."
He was a favorite of all the young wolf cubs of the pack.,అతనుప్యాక్అన్ని యువ తోడేలు పిల్లలు అభిమానం ఉంది.
It's called expensive.,ఇది ఖరీదైన అంటారు.
"I do but I'm the player here, okay?","ఓకే, నేను కానీ నేను ఇక్కడ ఆటగాడు వున్నాను?"
Your signal won't get through.,మీ సిగ్నల్ ద్వారా అందదు
"Why are your hands shaking, Daddy?","ఎందుకు మీ చేతులు, డాడీ వణుకు ఉంటాయి?"
That's $8 even.,కూడా $ 8 అంటే.
For two years and then gave I of two years.,అప్పుడు రెండు సంవత్సరాలు మరియు రెండు సంవత్సరాల నేను ఇచ్చింది.
"ROY, YEAH?","ROY, Yeah?"
"BEFORE THEY DIED, EACH ONE GAVE ME A NAME,","చనిపోయినప్పుడు ముందు, ప్రతి ME ఒక పేరును ఇచ్చింది,"
- I like the hat.,- నేను టోపీ ఇష్టం.
( bleating ),(bleating)
I made them.,నేను వారిని.
Then you can have him.,అప్పుడు మీరు అతన్ని ఉండవచ్చు.
Let's figure out why not.,యొక్క ఎందుకు కాదు దొరుకుతుందని లెట్.
I'm gonna miss this place.,నేను ఈ స్థానంలో మిస్ గొన్న చేస్తున్నాను.
You're okay.,మీరు ఓకే ఉన్నాయి.
♪ My fans miss real hip-hop from '95 ♪,♪నాఅభిమానులుమిస్ '95నుండిహిప్హాప్నిజమైన♪
"Hey, how's it going?","హే, అది ఎలా జరగబోతోంది?"
You missed a hell of a game last night.,మీరుగతరాత్రిఒకఆటలో ఒకనరకం తప్పిన
"There it is, 764.",ఉన్నాయి అది 764 ఉంది.
"I mean, there was a hotel and a bank.","నా ఉద్దేశ్యం, అది ఒక హోటల్ మరియు ఒక బ్యాంకు."
"Hey Jim, it's Sean.","హేజిమ్,ఇదిసీన్"
Give us that diversion.,మాకు ఆ మళ్లింపు ఇవ్వండి.
He's weak.,అతను బలహీనంగా ఉంది.
For to march and drill Over field and hill,మార్చికోసంమరియురంగంలోమరియుకొండపైగా బెజ్జం వెయ్యి
Keep your tech out of there.,అక్కడమీటెక్రానీయకండి.
Am I?,-3711 నేను
Not a strand out of place.,స్థలం Not a తీరము నుండి.
It's gotta be scav.,ఇదిgottaఉందిscav ఉంటుంది
"Time to drop the handbook, Boy Scout!","హ్యాండ్బుక్, బాయ్ స్కౌట్ డ్రాప్ సమయం!"
"I just need to take a nap, is all.","నేను ఒక ఎన్ఎపి పడుతుంది అవసరం, అన్ని ఉంది."
"Three times, fast.","మూడు సార్లు, ఫాస్ట్."
"Copy that, sir.","కాపీ సర్, ఆ."
What just happened?,-వాట్ జస్ట్ హాపెండ్?
Kind of.,కైండ్.
Tell us something more about the woman.,మాకు మహిళ గురించి మరింత చెప్పండి.
We don't have any money.,మేము ఏ డబ్బు లేదు.
It stood for victory at home and victory abroad.,ఇది హోమ్ మరియు విదేశాలలో విజయం విజయం కోసం ఉంది.
"Jaye and Colton, you're a go for POTUS.","జాయేమరియుకాల్టన్,మీరుపోటస్కోసంఒకగో"
"- ( crashes ) - ( music slows, stops )","- (క్రాష్) -( సంగీతతగ్గిస్తుంది,ఆగారు)"
You get along well.,మీరుబాగాకలిసి.
"Sir, ground reports activity at the White House.","సర్, వైట్ హౌస్ వద్ద గ్రౌండ్ నివేదికలు సూచించే ."
"Yeah, but I did go inside.","అవును, కానీ నేను లోపల వెళ్ళి వచ్చింది."
"Turn it around, man! Turn it around!",", మనిషి చుట్టూ తిరగండి!"
What have I run on?,నేను అమలు చేశారు?
Because you saved my life at Harry's.,మీరు హ్యారీ వద్ద నా జీవితం సేవ్ ఎందుకంటే.
So he's not answering.,అందువలన అతను సమాధానం లేదు.
Eighteen packs for $10.,$ 10 పద్దెనిమిది సమూహములు.
She will do anything for you.,ఆమెమీరుకోసం ఏదైనా చేస్తాను
I just got some business to take care of.,నేను యొక్క శ్రద్ధ వహించడానికి వ్యాపార వచ్చింది.
Front fence has been breached.,ఫ్రంట్ ఫెన్స్ ఉల్లంఘించిన చెయ్యబడింది.
"Without the moon, the Earth was thrown into chaos.","చంద్రుడులేకుండా,భూమి గందరగోళం లోకి విసిరి జరిగినది"
You need a hand with your bags?,మీరు మీ సంచులు ఒక చేతి అవసరం?
And I'm the best hope you've got.,నేను మీరు వచ్చింది ఉత్తమ ఆశ వద్ద.
NORAD confirms...,NORAD నిర్ధారించారని...
The enchanted notebook.,వశీకరణ నోట్బుక్.
- Yeah. Looked like he hadn't bathed for months.,అతను నెలల స్నానం చేయలేదు వంటి చూసారు.
Judah!,యూదా!
"Nothin', sir.","నథింగ్ ', సర్."
If you had to deal with morbid obesity and panic attacks you'd see the attraction.,... మీరు ఆకర్షణ చూడగలం.
As the memory comes back...,నాటికి మెమరీ తిరిగి వస్తుంది...
I'm the in-house therapist.,నేను అంతర్గత చికిత్సకుడు వద్ద.
(BATH WATER RUNNING),(BATH వాటర్ నడుస్తున్న)
- You know why?,- మీరు ఎందుకు తెలుసు?
Come right this way.,కుడి ఈ విధంగా వస్తాయి.
I wanna talk to the men who are listening.,ఐ వన్నా వింటూ ఉన్న పురుషులు మాట్లాడటానికి.
"Well, I can make it up when we get on the highway.","మేము హైవే మీద వచ్చిన Well, నేను అది చేయవచ్చు."
Out!,అవుట్!
- Ooh-be-doo,-Ooh-ఉంటుందిడూ
near the canyons in 17.,17 లో కాన్యోన్స్ సమీపంలో.
Which one?,ఏ?
The place near my office?,నాఆఫీస్దగ్గరస్థానంలో
"Oh, come on, are you serious?","న కమ్, మీరు తీవ్రమైన?"
That's odd.,ఆ బేసి.
That's like me saying my favourite Italian food are tacos.,ఆ నా అభిమాన ఇటాలియన్ ఆహార టాకోస్ ఉన్నాయి మాట్లాడుతూ వంటిది.
"Well, I ain't gonna get to, anyway.","Well, నేను ఏమైనప్పటికీ, ను గొన్న కాదు."
(SPUTTERS),(SPUTTERS)
- How about this?,- ఎలా ఈ గురించి?
Brrr!,Brrr!
- That is not gonna count.,- ఆ కౌంట్ గొన్న కాదు.
And this is what you're doing?,ఈ మీరు ఏమి ఉంది?
"""I will fear no evil.",""" నాకు చెడు భయపడుతున్నాయి ఉంటుంది."
He's kinda regular.,అతను ఎంతో సాధారణ ఉంది.
It's smaller than I thought it would be.,"ఇది నేను భావించారు కంటే తక్కువగా ఉంటుంది. మీరు కూడా ఒక సాధన కు పడ్డారు ఉంటే సరే, ఉండవచ్చు"
(ALARM BLARING),(అలారం అరిచే)
To make my dream come true,నాకలనిజమైందిచేయడానికి
Why don't you get in the tub?,ఎందుకు మీరు టబ్ లో పొందలేము?
"Hey, Lisa.","హే, లిసా."
- LUNCH MONEY.,- లంచ్ డబ్బు.
I'm not.,నేను కాదు.
- LEBRETON:,- LEBRETON:
"Skinny, sure know how to throw a dead cat into a party room, don't ya?","స్నానం చెయ్యడం, మీరు ఖచ్చితంగా ఒక పార్టీ గదిలోకి మీరు ఒక చనిపోయిన వోట్ లేదు త్రో ఎలా?"
"You don't have to play these games, Victor.","మీరు లేదు , విక్టర్ ఈ గేమ్స్ ప్లే."
We need the guy who did that butcher job in the saloon.,మేము సెలూన్ ఆ కసాయి ఉద్యోగం చేసిన వ్యక్తి అవసరం.
"Don't, like, get hurt.",", నచ్చలేదా, బాధించింది పొందుటకు."
"Rance, let's do some tricks.","Rance, వీలు యొక్క కొన్ని ఉపాయాలు చేయండి."
- I won't hold you up any longer.,- నేను ఎక్కువ కాలం మీరు పట్టుకొని కాదు.
"The boyfriend, Billy.","ప్రియుడు, బిల్లీ."
I'll take this one.,నేను ఈ ఒక పడుతుంది.
Your life belongs to me then.,మీ జీవితం తర్వాత నాకు చెందినది.
[ CLEARS THROAT ],[గొంతు క్లియర్]
We're having an affair.,మేము ప్రేమ వ్యవహారం కలిగి ఉంటాయి.
♪ WHEN IT'S JUST YOU AND THE BEAT ♪,♪ఐటిఉన్నప్పుడుJUST మీకుబీట్♪
Did you see his head?,మీరు అతని తల చూడండి తెలుసా?
This is some kind of terrible shit!,ఈ భయంకరమైన షిట్ యొక్క రకం!
"And truth is, I could have been just as dead as both of them.","మరియు నిజానికి, నేను వాటిని రెండు అంతే చనిపోయిన ఉండేవి."
"For ten years, I played the biggest room in Vegas.","పది సంవత్సరాలు, నేను వేగాస్ లో అతిపెద్ద గది ఆడాడు."
There it is.,ఉన్నాయి ఇది.
Need a driver?,డ్రైవర్ కావాలా?
"""We've gotta make him feel safe.""","""మేము చూడాలి చేసిన అతనికి సురక్షిత అనుభూతి చేస్తాయి."""
"Yeah, requesting assistance, brother Block!","అవును, సహాయం, సోదరుడు బ్లాక్ అభ్యర్థిస్తోంది!"
- Antonio...,- ఆంటోనియో...
It's yellow...,ఇది పసుపు...
IT'S A DETAIL.,ఐటి వివరాలు యొక్క.
"Deflated both lungs, punctured the heart.","గుండె పంక్చరెడ్, రెండు ఊపిరితిత్తులు ఉబ్బిన."
( gunshot ),(తుపాకీ)
Smiley was always yabberin' on about a guy who was gonna roll into town.,స్మైలీ ఎల్లప్పుడూ గురించి పట్టణం లోకి వెళ్లండి గొన్న అయిన ఒక వ్యక్తి మీద yabbering జరిగినది.
Okay. So what we gonna do?,"సరే, కాబట్టి మేము గొన్న ఏమి?"
"- No, don't worry.","- సంఖ్య, ఆందోళన పడకండి."
"Hey, Richard Simmons is a hero.","హే, రిచర్డ్ సిమన్స్ ఒక హీరో."
Get down on the floor,నేలపై డౌన్ పొందండి
You know we're way past that.,మీరు మేము మార్గం గత ఆ తెలుసు.
I think you've overstayed your welcome.,నేను స్వాగతం ఉంటుంది అధిగమించింది.
[ HEART BEATING ],[హార్ట్ బీటింగ్]
"Yes. Like you did when the monkeys kidnapped him, huh?","అవును, కోతులు అతనికి కిడ్నాప్ చేసినప్పుడు మీరు చేశాడు, హుహ్?"
Help take that chill away.,దూరంగా ఆ చల్లదనాన్ని పడుతుంది సహాయం.
Shouldn't we start back home?,మేము తిరిగి హోమ్ ప్రారంభించడం సాధ్యం చేయాలి?
GIVE US A GO?,సంయుక్త ఒక ప్రయత్నించండి?
"Mike, Mike, it's me.","మైక్, మైక్, అది నాకు ఉంది."
"- What is your problem, man?","- మీ సమస్య, మనిషి ఎంత?"
More?,మరింత?
-as one of this country's darkest hours.,- ఈ దేశం యొక్క చీకటి గంటల ఒకటిగా.
- Right?,- రైట్?
(COCKING GUN),(కాకింగ్చేగన్)
- Hey hey.,- హే హే.
- Right.,- రైట్.
I was trying to stay ahead of the storm.,నేను తుఫాను ముందు ఉండడానికి ప్రయత్నిస్తున్నాను.
Take the next left up here.,ఇక్కడ వదిలి తదుపరి టేక్.
"Oh, boobies.","ఓహ్, boobies."
"- Oh, thanks.","- ఓహ్, ధన్యవాదాలు."
I've got plenty of leverage.,నేను పరపతి పుష్కలంగా పాడించి.
Holly... your brother stays with me.,హోలీ... మీ సోదరుడు నాకు ఉంది.
I don't know what the army's coming to these days.,నేను సైన్యం ఈ రోజుల్లో ఏమి వస్తున్నాయో తెలియదు.
- TURN IT OFF.,. = = - దాన్ని ఆపివేయండి.
"You ruined it for me, I'm serious.","మీరు నాకు అది వ్యర్థమైంది, నేను తీవ్రమైన am."
"There's a party going on, but...","అక్కడ జరుగుతున్నాయి పార్టీ, కానీ..."
Come on. Come on!,మేము . న కమ్!
Let's see that smile.,యొక్కఆ స్మైల్చూద్దాం.
And I would need to bring to the world... one of the most significant stories of all time.,నేను ప్రపంచానికి తీసుకుని అవసరం... అన్ని సమయం అత్యంత ముఖ్యమైన కథలు ఒక.
"Hold him, boy.",", అతను తనకు పట్టుకోండి."
"He's a bloomin' pussycat, he is!","అతను ఒక bloomin 'పుస్సీక్యాట్ ఉంది, అతను!"
Don't throw away what you found here.,మీరు ఇక్కడ కనిపించే ఏమి దూరంగా వదులుకోవద్దు.
"No, I'm not.","సంఖ్య, నేను కాదు."
THAT WAS A SMART MOVE.,ఒక స్మార్ట్ వెళ్ళడం.
"He's a bloomin' pussycat, he is.","అతను ఒక bloomin 'పుస్సీక్యాట్ ఉంది, అతను!"
"Hey, honey,","తేనె, హే,"
Don't destroy his confidence.,తన విశ్వాసం నాశనం లేదు.
"Kelly, I don't want to hear it!","కెల్లీ, నేను వింటారా లేదు!"
He gives me the shivers.,అతను నాకు shivers ఇస్తుంది.
That's interference.,జోక్యం అంటే .
[ MUFFLED ] Get the fuck off me.,[Muffled] నాకు ఆఫ్ ఫక్ పొందండి.
No. I've never been there.,నేను అక్కడ ఎప్పుడూ నం.
(BEEPS),(BEEPS)
Make it two.,ఇది రెండు చేయి.
Get your hands off of her!,హే! ఆమె యొక్క మీ చేతులు ఆఫ్ పొందండి!
Or a worm farm.,లేదా ఒక వార్మ్ వ్యవసాయ.
I just think we need to talk about everything because I just...,"ఓహ్, నా దేవుని"
His father and I were in the men's room at a Patriots game...,అతని తండ్రి మరియు నేను ఒక పేట్రియాట్స్ ఆటలో పురుషుల గదిలో ఉన్నాయి...
So should I get to work?,నేను పని పొందడానికి?
I will leave my ringer on vibrate.,నేను కంపిస్తాయి నా రింగర్ వదిలి.
I don't give a damn what she did.,నేను ఆమె ఏమి ఒక డామ్ లేదు.
Get him to the elevator.,ఎలివేటర్ అతన్ని పొందండి.
It's my car.,ఇది నా కార్.
"Yes, that's one of many cases.","అవును,ఆ అనేక సందర్భాల్లో ఒకటి"
It will help us every clay,ఇదిమాకుప్రతిమట్టిసహాయంచేస్తుంది
I mean the bare necessities,ఆర్తల్లిప్రకృతియొక్కవంటకాలను
"20, it is.",20 యొక్క.
- Hang on.,- ఆగండి.
"Son, you don't mind if we take your fingerprints, do you?","మేము మీ వేలిముద్రలు, మీరు తీసుకుంటే సన్, మీరు చూసుకొని లేదు?"
What's it look like I'm doing?,నేను చేస్తున్న కనిపిస్తుంది ఏమిటి?
May I Suggest this?,మే నేను ఈ సూచించండి?
You can do COBRA on the insurance.,మీరు భీమా న కోబ్రా చేయవచ్చు.
"Come on and get 'im, champ!","న కమ్ మరియు 'im, ఛాంప్ పొందండి!"
"I mean, I get to go to that?","నా ఉద్దేశ్యం, నేను వెళ్ళడానికి పొందుటకు?"
Thank you!,ధన్యవాదాలు!
That way.,ఆ విధంగా.
You...,మీరు...
Have a good evening.,ఒక మంచి సాయంత్రాన్ని.
"And though I maybe young,",మరియు అయితే నేను యువ ఉండవచ్చు...
Thank you.,ధన్యవాదాలు.
Smell meat.,వాసన మాంసం.
I brought all the sisters here to pray for you.,నేను మీరు ప్రార్ధించే ఇక్కడ అన్ని సోదరీమణులు తెచ్చింది.
"Mowgli, how about you singin'?","మోగ్లీ, ఎలా మీరు సింగింగ్?"
In dire need,లోభయంకరమైనఅవసరం
Let me explain something.,నాకు ఏదో వివరించేందుకు లెట్.
It's too dangerous down there.,ఇది అక్కడ చాలా ప్రమాదకరం.
'Cause I said I was sorry!,నేను క్షమించండి చెప్పాడు.
You went to gay camp?,మీరు గే శిబిరం వెళ్లిన?
Where you goin'?,ఎక్కడ మీరు 'గోయిన్?
KEEGAN:,కీగన్:
"Kill him, otherwise you will get problems.","అతనికి కిల్, లేకపోతే మీరు సమస్యలు పొందుతారు."
- He...,- అతను...
I got a few ideas what I'd like to do with her.,నేను ఆమె తో చేయాలని ఏ కొన్ని ఆలోచనలు వచ్చింది.
I need help.,నేను సహాయం కావాలి.
"Always with the fingers, huh?","ఎల్లప్పుడూ వేళ్లు తో, హుహ్?"
Then the Tet sent troop ships down.,అప్పుడు Tet డౌన్ నౌకాదళ ఓడలు పంపిన.
It's here I will stay.,నేనుఉంటారుఇక్కడ
Had a small accident.,ఒక చిన్న ప్రమాదం హాడ్.
"They should have fresh rabbits to practice magic with, don't you agree?","వారుమీరుఅంగీకరిస్తున్నారు,తోమ్యాజిక్లేదుసాధనతాజాకుందేళ్ళు ఉండాలి"
"Same old shit, different day.","సేమ్ ఓల్డ్ షిట్, మరొక రోజు."
We fear he's dead.,మేము అతను చనిపోయిన భయం.
Plus I'm doing some webisodes.,ప్లస్ నేను కొన్ని వెబిసోడ్లు చేస్తున్న.
Silence in the ranks!,శ్రేణుల సైలెన్స్!
Give it a shot.,అది ఒక షాట్ ఇవ్వండి.
"None of your damn business, that's what.","మీ తిట్టు వ్యాపార గమనిక, ఆ ఏమిటి."
No! He's mine.,నం అతను గని.
The coroner's office ruled Niles' death a homicide.,ఉంటాడని వైద్యాధికారి కార్యాలయం నైల్స్ 'మరణం నరహత్య పాలించారు.
The bank called.,అని బ్యాంకు.
"- Very well, very well.","బర్ట్: బాగా, బాగా."
"I've never called The Bag, I'm not starting today.","నేను నేను ఈరోజు మొదలు లేదు, బాగ్ అని ఎప్పుడూ."
But I'll talk you through it.,కానీ నేను ద్వారా మీరు మాట్లాడటానికి ఉంటుంది.
